HOUR_RAINFALL,IMP_SUR_RATIO,SLOPE_AVG,HIGH,F_WEIGHT,FLOOD,Hourly_Rainfall_Weight,Impervious_Surface_Weight,SLOPE_AVG_Weight,HIGH_Weight
39.0,27.63,7.75,3.92,0.07501875468867218,1.0,0.2549019607843137,0.6909227306826706,4.649628029757619,0.04923386083898518
78.0,27.63,7.75,3.92,0.07501875468867218,1.0,0.4431818181818182,0.6909227306826706,4.649628029757619,0.04923386083898518
3.5,27.63,1.0,0.3,0.07501875468867218,0.0,0.07608695652173914,0.6909227306826706,0.5999520038396928,0.003767897513187641
8.5,27.63,1.0,0.3,0.07501875468867218,0.0,0.18478260869565216,0.6909227306826706,0.5999520038396928,0.003767897513187641
39.0,27.63,1.0,0.3,0.07501875468867218,1.0,0.2549019607843137,0.6909227306826706,0.5999520038396928,0.003767897513187641
78.0,27.63,1.0,0.3,0.07501875468867218,1.0,0.4431818181818182,0.6909227306826706,0.5999520038396928,0.003767897513187641
3.5,27.63,4.5,4.65,0.07501875468867218,0.0,0.07608695652173914,0.6909227306826706,2.699784017278618,0.05840241145440844
8.5,27.63,4.5,4.65,0.07501875468867218,0.0,0.18478260869565216,0.6909227306826706,2.699784017278618,0.05840241145440844
39.0,27.63,4.5,4.65,0.07501875468867218,1.0,0.2549019607843137,0.6909227306826706,2.699784017278618,0.05840241145440844
78.0,27.63,4.5,4.65,0.07501875468867218,1.0,0.4431818181818182,0.6909227306826706,2.699784017278618,0.05840241145440844
0.5,51.82,1.0,3.77,0.016666666666666666,0.0,0.010869565217391304,0.3886888688868887,0.5999520038396928,0.04734991208239136
12.0,51.82,1.0,3.77,0.016666666666666666,1.0,0.2608695652173913,0.3886888688868887,0.5999520038396928,0.04734991208239136
32.5,51.82,1.0,3.77,0.016666666666666666,1.0,0.4513888888888889,0.3886888688868887,0.5999520038396928,0.04734991208239136
70.5,51.82,1.0,3.77,0.016666666666666666,1.0,0.4005681818181818,0.3886888688868887,0.5999520038396928,0.04734991208239136
1.5,24.36,1.0,1.55,0.07501875468867218,0.0,0.03260869565217391,0.609,0.5999520038396928,0.019467470484802813
24.0,24.36,1.0,1.55,0.07501875468867218,1.0,0.3333333333333333,0.609,0.5999520038396928,0.019467470484802813
1.5,24.36,22.5,1.63,0.07501875468867218,0.0,0.03260869565217391,0.609,12.147570485902818,0.02047224315498618
24.0,24.36,22.5,1.63,0.07501875468867218,1.0,0.3333333333333333,0.609,12.147570485902818,0.02047224315498618
1.5,24.36,22.5,9.11,0.07501875468867218,0.0,0.03260869565217391,0.609,12.147570485902818,0.11441848781713136
24.0,24.36,22.5,9.11,0.07501875468867218,1.0,0.3333333333333333,0.609,12.147570485902818,0.11441848781713136
1.5,24.36,11.0,1.31,0.07501875468867218,0.0,0.03260869565217391,0.609,7.04,0.016453152474252702
24.0,24.36,11.0,1.31,0.07501875468867218,1.0,0.3333333333333333,0.609,7.04,0.016453152474252702
0.5,45.77,1.0,1.94,0.14992503748125938,0.0,0.010869565217391304,0.34330933093309335,0.5999520038396928,0.024365737251946747
12.0,45.77,1.0,1.94,0.14992503748125938,0.0,0.2608695652173913,0.34330933093309335,0.5999520038396928,0.024365737251946747
32.5,45.77,1.0,1.94,0.14992503748125938,1.0,0.4513888888888889,0.34330933093309335,0.5999520038396928,0.024365737251946747
70.5,45.77,1.0,1.94,0.14992503748125938,1.0,0.4005681818181818,0.34330933093309335,0.5999520038396928,0.024365737251946747
0.5,45.77,1.0,3.18,0.14992503748125938,0.0,0.010869565217391304,0.34330933093309335,0.5999520038396928,0.039939713639788994
12.0,45.77,1.0,3.18,0.14992503748125938,0.0,0.2608695652173913,0.34330933093309335,0.5999520038396928,0.039939713639788994
32.5,45.77,1.0,3.18,0.14992503748125938,0.0,0.4513888888888889,0.34330933093309335,0.5999520038396928,0.039939713639788994
70.5,45.77,1.0,3.18,0.14992503748125938,1.0,0.4005681818181818,0.34330933093309335,0.5999520038396928,0.039939713639788994
3.5,62.32,4.5,4.7,0.07501875468867218,0.0,0.07608695652173914,0.4673415823022121,2.699784017278618,0.059030394373273044
8.5,62.32,4.5,4.7,0.07501875468867218,0.0,0.18478260869565216,0.4673415823022121,2.699784017278618,0.059030394373273044
