SEQ,ADM_CD,ZONE,DONG,DISTRICT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_TIME,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,HOUR_RAINFALL,PRECI_YYMMDDHH,PRECI_HH,Hourly_Rainfall_Weight,HIGH_Weight,SLOPE_AVG_Weight
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,17,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,18,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,19,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,20,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,21,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,22,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,23,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,24,0.0,0.043582014569203714,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,1.5,20090716,1,0.03260869565217391,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,5.0,20090716,2,0.10869565217391304,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,3.0,20090716,3,0.06521739130434782,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,3.5,20090716,4,0.07608695652173914,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,3.5,20090716,5,0.07608695652173914,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,8.5,20090716,6,0.18478260869565216,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,39.0,20090716,7,0.2549019607843137,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,78.0,20090716,8,0.4431818181818182,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,54.5,20090716,9,0.3562091503267974,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,46.0,20090716,10,0.3006535947712418,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,15.5,20090716,11,0.2152777777777778,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,6.0,20090716,12,0.13043478260869565,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,2.5,20090716,13,0.05434782608695652,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,14,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,15,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,16,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,17,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,18,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,19,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,20,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,21,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,22,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,23,0.0,0.04923386083898518,
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700.0,1100.0,4.0,0,2,7,4.5,3.92,0.0,20090716,24,0.0,0.04923386083898518,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,1.5,20090716,1,0.03260869565217391,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,5.0,20090716,2,0.10869565217391304,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,3.0,20090716,3,0.06521739130434782,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,3.5,20090716,4,0.07608695652173914,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,3.5,20090716,5,0.07608695652173914,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,8.5,20090716,6,0.18478260869565216,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,39.0,20090716,7,0.2549019607843137,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,78.0,20090716,8,0.4431818181818182,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,54.5,20090716,9,0.3562091503267974,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,46.0,20090716,10,0.3006535947712418,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,15.5,20090716,11,0.2152777777777778,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,6.0,20090716,12,0.13043478260869565,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,2.5,20090716,13,0.05434782608695652,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,14,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,15,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,16,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,17,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,18,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,19,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,20,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,21,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,22,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,23,0.0,0.003767897513187641,
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700.0,1100.0,4.0,0,60,100,80.0,0.3,0.0,20090716,24,0.0,0.003767897513187641,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,1.5,20090716,1,0.03260869565217391,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,5.0,20090716,2,0.10869565217391304,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,3.0,20090716,3,0.06521739130434782,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,3.5,20090716,4,0.07608695652173914,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,3.5,20090716,5,0.07608695652173914,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,8.5,20090716,6,0.18478260869565216,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,39.0,20090716,7,0.2549019607843137,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,78.0,20090716,8,0.4431818181818182,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,54.5,20090716,9,0.3562091503267974,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,46.0,20090716,10,0.3006535947712418,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,15.5,20090716,11,0.2152777777777778,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,6.0,20090716,12,0.13043478260869565,0.05840241145440844,
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,4.65,2.5,20090716,13,0.05434782608695652,0.05840241145440844,
