Unnamed: 0,SEQ,DISTRICT,ADM_CD,FLUD_TIME,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,ZONE,DONG,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,HOUR_RAINFALL,PRECI_YYMMDDHH,PRECI_HH
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,21
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,22
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,23
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,24
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,1
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,2
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,3
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.4,20170911,4
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,4.9,20170911,5
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,8.5,20170911,6
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,30.4,20170911,7
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.4,0.0,2,1.0,2.96,78.8,20170911,8
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,57.7,20170911,9
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,32.1,20170911,10
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,39.5,20170911,11
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,10.9,20170911,12
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,13
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,14
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,15
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,16
121,101469,부산진시장,2617000000,3.0,20170911,20170911,800.0,1100.0,동구,범일동,0.0,0.0,2,1.0,2.96,0.0,20170911,17
