DONG,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
기장읍,0.29126649772032376,0.29635897886581253,0.2912664977203237,0.2912664977203237,0.2912664977203237,0.2912664977203237,0.2912664977203237,0.29635897886581253,0.2965018353524935,0.29635897886581253,0.29635897886581253,0.29635897886581253,0.2912664977203237,0.4216414727708425,0.29635897886581253,0.14334571372801772,0.14027557344644917,0.4099168168957565,0.20978578299233672,0.4351727210127667,0.4442125408087189,0.42303744368448737,0.43104445376732187,0.4311626115729174,0.43506861675877506,0.2912664977203237,0.2912664977203237,0.2912664977203237
남산동,0.6124074565817604,0.6124074565817604,0.6242771433665897,0.6124074565817604,0.6124074565817604,0.6124074565817604,0.6124074565817604,0.6242771433665897,0.6299073218951013,0.6124074565817604,0.6261519789813127,0.6242771433665897,0.6242771433665897,0.6280295422321813,0.6261519789813127,0.6812750349170226,0.6355157673169559,0.6829684732478232,0.631782728809846,0.6355157673169559,0.68628648944431,0.7231102048930467,0.7208421389340137,0.6974854777394044,0.7682767501895067,0.6242771433665897,0.6124074565817604,0.6124074565817604
남천동,0.39202365191496624,0.38946565668923255,0.38946565668923255,0.38946565668923255,0.38946565668923255,0.38946565668923255,0.38946565668923255,0.38946565668923255,0.404372066643264,0.38946565668923255,0.39202365191496624,0.39202365191496624,0.38946565668923255,0.3964044918986847,0.3964044918986847,0.4385797976070729,0.4179672328332022,0.46697686466579374,0.4125133153447987,0.4884995287164779,0.4700024220378,0.4971066811472272,0.8216241875869067,0.4654336267103461,0.47294252509196477,0.38946565668923255,0.38946565668923255,0.38946565668923255
남항동3가,0.194663681066252,0.194663681066252,0.194663681066252,0.194663681066252,0.194663681066252,0.19398720230497055,0.194663681066252,0.2087823564960185,0.20699929696513916,0.19398720230497055,0.19398720230497055,0.19398720230497055,0.19398720230497055,0.20939600697496583,0.20939600697496583,0.23115065244000726,0.22381155389945587,0.20699929696513916,0.2306542106956718,0.22988125281308638,0.23115065244000726,0.24905048911719943,0.24840977570735864,0.20479532831551867,0.27466424903875153,0.23231472241867418,0.20699929696513916,0.194663681066252
노포동,0.05729450565827428,0.05729450565827428,0.05710589448979604,0.05729450565827428,0.05729450565827428,0.05729450565827428,0.05729450565827428,0.05710589448979604,0.056608504109690386,0.05729450565827428,0.05692824396221752,0.05710589448979604,0.05710589448979604,0.0567622235929081,0.05692824396221752,0.055901862728428134,0.056227859369457844,0.05588886803392824,0.05646775661932009,0.056227859369457844,0.0746278977868883,0.09648168073404984,0.06982085191589886,0.33773836116745176,0.5167939223846687,0.05710589448979604,0.05729450565827428,0.05729450565827428
눌차동,0.04356956535799037,0.04356956535799037,0.04356956535799037,0.04356956535799037,0.04356956535799037,0.04356956535799037,0.04356956535799037,0.04169222318014891,0.040063909641197715,0.04332041072454057,0.04319564449425094,0.04332041072454057,0.042945779732077395,0.042570289906465004,0.042695533187669575,0.02969821187013462,0.038824648206037406,0.03796984530694693,0.042068735148729976,0.042945779732077395,0.040063909641197715,0.02285184580179739,0.02544184274671938,0.02202964273361113,0.03736778750373442,0.04356956535799037,0.04356956535799037,0.04356956535799037
다대동,0.18777982759434703,0.18777982759434703,0.18777982759434703,0.18777982759434703,0.18777982759434703,0.18777982759434703,0.20600560367617818,0.4607144022792529,0.3732287350287377,0.20600560367617818,0.18777982759434703,0.20600560367617818,0.20600560367617818,0.20600560367617818,0.20834120819226257,0.37814773154810655,0.5434445034862385,0.37662703826715965,0.3732287350287377,0.3791159969361541,0.3918797432003945,0.5450851710719891,0.5670542214866738,0.5497341398632887,0.6296790583258463,0.5798892079755825,0.5497341398632887,0.18777982759434703
대저1동,0.6474366865935738,0.6474366865935738,0.6474366865935738,0.6474366865935738,0.6474366865935738,0.6474366865935738,0.6474366865935738,0.7266714875088187,0.7082269102212089,0.6576362611259006,0.6490588524116379,0.6576362611259006,0.6623722740931892,0.7243175420494028,0.7238643393232936,0.7599822798497846,0.7134813803312813,0.741563778274804,0.7265243640194808,0.6623722740931892,0.7082269102212089,0.7668952167095119,0.7726972394685527,0.7546759218123693,0.7662011384707922,0.6474366865935738,0.6474366865935738,0.6474366865935738
대저2동,0.6474374660557741,0.6474374660557741,0.6474374660557741,0.6474374660557741,0.6474374660557741,0.6474374660557741,0.6474374660557741,0.7266714897614628,0.7082275834255121,0.6576370292031688,0.6490596147744023,0.6576370292031688,0.6623730249930644,0.7243183165258726,0.7238651182874557,0.7599828031495839,0.7134819998280887,0.7415643607166541,0.7265243621933533,0.6623730249930644,0.7082275834255121,0.7668950210184255,0.7726974995696678,0.7546758800597424,0.7662016000647175,0.6474374660557741,0.6474374660557741,0.6474374660557741
덕천동,0.3900528941201871,0.3900528941201871,0.3900528941201871,0.3900528941201871,0.3900528941201871,0.3900528941201871,0.3900528941201871,0.40745699690962645,0.3911133832991304,0.3900528941201871,0.3900528941201871,0.3900528941201871,0.40745699690962645,0.4076941154745199,0.40745699690962645,0.11162639162076897,0.11162639162076897,0.3911133832991304,0.4076941154745199,0.4082113566760803,0.4082113566760803,0.2248505637519918,0.23139400885867112,0.20433071358099478,0.23139400885867112,0.3900528941201871,0.3900528941201871,0.3900528941201871
덕포동,0.45748477272965404,0.45748477272965404,0.45748477272965404,0.45748477272965404,0.45748477272965404,0.45748477272965404,0.45748477272965404,0.4527934565054407,0.5620855652301461,0.45748477272965404,0.45518996815806023,0.45748477272965404,0.45518996815806023,0.45518996815806023,0.4527934565054407,0.5620855652301461,0.2853521792085548,0.4438481970232464,0.45518996815806023,0.4502968702333916,0.4438481970232464,0.1602490132979668,0.17213347839475318,0.196223464517497,0.24635255448788396,0.45748477272965404,0.45748477272965404,0.45748477272965404
동삼동,0.07792688515171607,0.07792688515171607,0.07792688515171607,0.07792688515171607,0.07792688515171607,0.07792460963379687,0.07792688515171607,0.07503541961820644,0.07502846823315072,0.07792460963379687,0.07792460963379687,0.07792460963379687,0.07792460963379687,0.07792232686101645,0.07792232686101645,0.07499524531700949,0.07500888489245823,0.07502846823315072,0.07499100599749747,0.07498310046866696,0.07499524531700949,0.07497893084233484,0.07495667795811278,0.07501892632314458,0.07493574074739844,0.07500360047149114,0.07502846823315072,0.07792688515171607
두구동,0.5976198776575752,0.5976198776575752,0.6195716290708225,0.5976198776575752,0.5976198776575752,0.5976198776575752,0.5976198776575752,0.6195716290708225,0.6265275120813454,0.5976198776575752,0.6218798996752073,0.6195716290708225,0.6195716290708225,0.6241999044661888,0.6218798996752073,0.7246660977479928,0.6335438769580672,0.7367530073204,0.6288583755334922,0.6335438769580672,0.7408263663214354,0.8190625460750571,0.8110746038769963,0.8078419462517188,0.8411673341640405,0.6195716290708225,0.5976198776575752,0.5976198776575752
망미동,0.19621178007408546,0.19582870050664614,0.19582870050664614,0.19582870050664614,0.19582870050664614,0.19582870050664614,0.19582870050664614,0.19582870050664614,0.21041090659641437,0.19582870050664614,0.19621178007408546,0.19621178007408546,0.19582870050664614,0.19661544697157643,0.19661544697157643,0.2141838773711725,0.2002413729879825,0.22448709946911186,0.20897964914700057,0.2832533790729064,0.22567871504474268,0.2840055016643174,0.6448793216670956,0.22390482439133197,0.226906005302519,0.19582870050664614,0.19582870050664614,0.19582870050664614
명륜동,0.34035930224651334,0.3386529744938023,0.3386529744938023,0.3386529744938023,0.3386529744938023,0.3386529744938023,0.3386529744938023,0.3386529744938023,0.3500194708749761,0.34035930224651334,0.3386529744938023,0.34035930224651334,0.34035930224651334,0.34035930224651334,0.32805227297551953,0.34969962697680695,0.3503376117972009,0.3501020677820379,0.34969962697680695,0.6026486816565471,0.34992095465910655,0.5953010154805228,0.5947795250963489,0.6393846998583779,0.6078223400084652,0.34035930224651334,0.3386529744938023,0.3386529744938023
명지동,0.6474369772426652,0.6474369772426652,0.6474369772426652,0.6474369772426652,0.6474369772426652,0.6474369772426652,0.6474369772426652,0.72667148834831,0.7082271612484297,0.6576365475297525,0.6490591366846548,0.6576365475297525,0.6623725540918981,0.7243178308389586,0.7238646297862259,0.7599824749802209,0.7134816113319035,0.741563995458257,0.7265243633380651,0.6623725540918981,0.7082271612484297,0.766895143740601,0.7726973364563332,0.754675906243438,0.7662013105921966,0.6474369772426652,0.6474369772426652,0.6474369772426652
