SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CITY,ZONE,DONG,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
90563.0,2.0,온천4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 내성교차로 일원의 저지대에 집수된 우수가 온천천으로 원활히 배수되지 못하여 침수 발생,2626000000,201501.0,4.0,0.2~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,8.2,부산광역시,동래구,온천동,0.0,2.0,1.0,10.81
90566.0,2.0,가야동1지구,폭우로 인한 침수피해,집중호우로로 인한 배수배재 불량,2623000000,201501.0,2.0,0.3~0.7,0.0,20140825.0,20140825.0,1500.0,1700.0,31.4,부산광역시,부산진구,가야동,2.0,7.0,4.5,33.43
90593.0,2.0,덕천1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.5m(최저)~0.6m(최고),0.0,20140825.0,20140825.0,1400.0,1600.0,EL. 5.8m,부산광역시,북구,구포동,7.0,15.0,11.0,9.97
90598.0,2.0,구포3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.4m(최저)~1.1m(최고),0.0,20140825.0,20140825.0,1400.0,1600.0,EL. 117.8m,부산광역시,북구,덕천동,30.0,60.0,45.0,171.04
90589.0,2.0,화명2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.3m(최저)~1.2m(최고),0.0,20140825.0,20140825.0,1400.0,1600.0,2지구 EL. 9.1m/ 3지구 EL. 7.9m,부산광역시,북구,화명동,10.0,20.0,15.0,32.29
90569.0,3.0,감전동 2지구,폭우로 인한 침수피해,"- 폭우로 인한 침수피해(배수배재불량, 새벽시장 양방향 도로구간 침수)",2653000000,201501.0,2.0,0.3(최저)~0.5(최고)m,0.0,20140825.0,20140825.0,1500.0,1700.0,EL. 1.5m,부산광역시,사상구,감전동,0.0,2.0,1.0,2.44
90570.0,3.0,괘법동 1지구,폭우로 인한 침수피해,"- 폭우로 인한 침수피해(배수배재 불량, 부산산업용품 유통단지 일원 도로 상습침수)",2653000000,201501.0,2.0,0.2(최저)~0.5(최고)m,0.0,20140825.0,20140825.0,1500.0,1700.0,EL. 1.4m,부산광역시,사상구,괘법동,0.0,2.0,1.0,2.76
90572.0,2.0,주례동1지구,폭우로 인한 침수피해,"- 폭우로 인한 침수피해(배수배재 불량, 저지대 일부구간 도로 및 주변일대 상습침수)",2653000000,201501.0,2.0,0.3~0.5,0.0,20140825.0,20140825.0,1500.0,1700.0,10.2,부산광역시,사상구,덕포동,0.0,2.0,1.0,5.81
90568.0,3.0,감전동 1지구,폭우로 인한 침수피해,"- 폭우로 인한 침수피해(배수배재불량, 저지대 사거리 상습 침수)",2653000000,201501.0,2.0,0.2(최저)~0.5(최고)m,0.0,20140825.0,20140825.0,1500.0,1700.0,EL. 1.8m,부산광역시,사상구,주례동,0.0,2.0,1.0,1.36
40138.0,2.0,감천지구,집중호우,집중호우에 의한 주택침수,2638010800,201301.0,24.0,0.4 M~ 0.7 M,0.0,20110727.0,20110728.0,0.0,0.0,5.2M,부산광역시,사하구,감천동,5.0,12.0,8.5,6.42
40137.0,2.0,괴정지구,집중호우,집중호우에 의한 주택침수,2638010100,201301.0,24.0,0.2 M~ 0.8 M,0.0,20110727.0,20110728.0,0.0,0.0,5.2M,부산광역시,사하구,괴정동,5.0,20.0,12.5,26.51
90745.0,1.0,대진아파트 일원,2016년 태풍 차바,태풍으로인한 집중호우,2638000000,201701.0,3.0,0.3-0.5,0.0,20161005.0,20161005.0,900.0,1200.0,1.8,부산광역시,사하구,구평동,0.0,2.0,1.0,2.52
90710.0,1.0,다대동지구,2016년 태풍 차바,태풍으로 인한 월파,2638000000,201701.0,3.0,0.3-0.5,0.0,20161005.0,20161005.0,900.0,1200.0,3.3,부산광역시,사하구,다대동,0.0,2.0,1.0,2.94
30581.0,2.0,장림지구,호우피해,집중호우로 인한 하수 범람,2638010500,200912.0,4.0,0.433 M,4668000000.0,20090716.0,20090716.0,800.0,1200.0,2.21M,부산광역시,사하구,장림동,0.0,2.0,1.0,1.98
90346.0,3.0,하단지구2,2012년 집중호우,집중호우에의한 하수역류,2638010300,201312.0,22.0,0.38M~0.823M,0.0,20120714.0,20120715.0,23.0,20.0,2.17M,부산광역시,사하구,하단동,0.0,2.0,1.0,2.4
90647.0,1.0,송도해수욕장,2016년 태풍 차바,태풍으로 인한 집중호우 및 해수면 상승으로 월파 피해,2614000000,201611.0,2.0,0.5~1.5m,0.0,20161005.0,20161005.0,900.0,1100.0,3.6m,부산광역시,서구,암남동,7.0,15.0,11.0,1.92
90973.0,2.0,망미1지구,집중호우로인한 침수,집중호우로인한 하수도용량초과,2650000000,201801.0,1.0,0.3~0.7,0.0,20170911.0,20170911.0,730.0,830.0,2.57,부산광역시,수영구,광안동,2.0,7.0,4.5,3.38
30582.0,2.0,남천지구,침수피해,집중호우,2650010500,200912.0,4.0,0 M~ 1 M,0.0,20090716.0,20090716.0,600.0,1000.0,3M,부산광역시,수영구,남천동,2.0,7.0,4.5,3.12
90997.0,2.0,민락1지구,집중호우로인한 침수,집중호우로인한 하수도 용량초과,2650000000,201801.0,1.0,0.3~0.7,0.0,20170911.0,20170911.0,730.0,830.0,2.8,부산광역시,수영구,망미동,7.0,15.0,11.0,5.8
90923.0,2.0,광안2지구,집중호우로인한 침수,집중호우로인한 하수도용량초과,2650000000,201801.0,1.0,0.3~0.5,0.0,20170911.0,20170911.0,730.0,830.0,6.43,부산광역시,수영구,민락동,2.0,7.0,4.5,2.01
90518.0,2.0,수영3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2650000000,201412.0,2.0,0.2m(최저)~0.8m(최고),0.0,20140825.0,20140825.0,1500.0,1700.0,EL. 3.1m,부산광역시,수영구,수영동,0.0,2.0,1.0,3.47
90920.0,2.0,거제1지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 우수가 저지대로 유입- 빗물이 단시간내에 저지대로 유입되어 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201802.0,1.0,0.3~1.0,0.0,20170911.0,20170911.0,730.0,830.0,5.7,부산광역시,연제구,거제동,2.0,7.0,4.5,5.75
91030.0,2.0,연산3지구,집중호우에 의한 침수피해,1. 부산지역의 기록적인 폭우- 2017.9.11. 약 1시간 동안 집중호우 발생2. 배수펌프장 배전반 침수- 배수펌프장 내 배전반이 침수됨에 따라 펌프 작동이 중단되어 배수 불가3. 배수펌프장 펌프용량 부족- 펌프장 준공 당시와는 달리 각종 오·우수의 추가유입으로 펌프용량 부족4. 수영강 역류 발생- 펌프장에서 수영강으로 방류되는 개수로에서 역류발생5. 노면 유출수 집중현상- 노면유출수 분산처리시설이 미비하여 노면수가 배수펌프장으로 집중유입,2647000000,201802.0,1.0,0.3~1.0,0.0,20170911.0,20170911.0,730.0,830.0,2.1,부산광역시,연제구,연산동,0.0,2.0,1.0,3.43
32495.0,3.0,영도구 남항지구,집중호우로 인한 주택 및 도로침수,집중호우에 의한 주택침수,2620010700,201302.0,,0.1 M ~ 0.7 M,,20110727.0,20110728.0,,,-3.22M,부산광역시,영도구,남항동3가,0.0,2.0,1.0,1.94
101619.0,1.0,영도구 동삼동 감지해변,"태풍""콩레이""에 의한 침수피해",너울에 의한 배수 불량,2620000000,201811.0,2.0,0.5,0.0,20181006.0,20181006.0,900.0,1100.0,0.3~0.5,부산광역시,영도구,동삼동,30.0,60.0,45.0,31.3
32496.0,3.0,청학지구,집중호우로 인한 주택 및 도로침수,집중호우에 의한 도로침수,2620012000,201302.0,,0.1 M ~ 0.2 M,,20110727.0,20110728.0,,,3.19M,부산광역시,영도구,청학동,0.0,2.0,1.0,3.18
90576.0,2.0,반여1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 선수천로 주변의 저지대로 유입되어 침수 발생,2635000000,201501.0,4.0,0.3~1.3,0.0,20140825.0,20140825.0,1500.0,1900.0,6.2,부산광역시,해운대구,반송동,2.0,7.0,4.5,3.4
90578.0,2.0,반여3/4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 수영강의 범람으로 하천수가 저지대로 유입되어 침수 발생,2635000000,201501.0,4.0,0.2~1.4,0.0,20140825.0,20140825.0,1500.0,1900.0,5.5/ 5.8,부산광역시,해운대구,반여동,2.0,7.0,4.5,2.67
90582.0,2.0,석대4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대첨단산업단지에 집중된 우수가 저지대로 유입되어 침수 발생,2635000000,201501.0,4.0,0.3~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,6.8,부산광역시,해운대구,석대동,0.0,2.0,1.0,6.28
90574.0,2.0,반송1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2635000000,201501.0,4.0,0.3~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,26.6,부산광역시,해운대구,송정동,2.0,7.0,4.5,26.9
90653.0,1.0,송정2지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701.0,2.0,0.3m~0.5m,0.0,20161005.0,20161005.0,900.0,1100.0,1175.1,부산광역시,해운대구,우동,0.0,2.0,1.0,3.47
90668.0,1.0,중동1지구,태풍 '차바'에 의한 침수피해,"1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.",2635000000,201701.0,2.0,0.3m~0.5m,0.0,20161005.0,20161005.0,900.0,1100.0,3965.4,부산광역시,해운대구,중동,2.0,7.0,4.5,6.67
,,,,,2617053000,,,,,,,,,,,동구,초량동,,,1,4
