SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CODE,ZONE,DONG
90523,2,연제5지구,집중호우로 인한 침수피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412.0,2.0,0.2m(최저)~0.7m(최고),0.0,20140825,20140825,1500,1700,EL. 3.3m,2647000000,연제구,
90521,2,연제3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412.0,2.0,0.2m(최저)~0.4m(최고),0.0,20140825,20140825,1500,1700,EL. 5.6m,2647000000,연제구,
90566,2,가야동1지구,폭우로 인한 침수피해,집중호우로로 인한 배수배재 불량,2623000000,201501.0,2.0,0.3~0.7,0.0,20140825,20140825,1500,1700,31.4,2623000000,부산진구,
90537,2,두구1/2/3/4지구,8월25일 집중호우에 의한 침수 피해,수영강의 범람으로 하천수가 저지대로 유입되어 침수발생,2641000000,201502.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,51.0~53.2,2641000000,금정구,
90536,2,부곡1/2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,10.6~12.6,2641000000,금정구,
90543,2,남산2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,38.7~36.0,2641000000,금정구,
90549,2,문중지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 내수배제 불량- 덕선천과 동백천 사이 하천을 복개하여 우수 배제가 불리- 하천 수위 상승으로 배수 지연 및 주변 저지대 침수 발생3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2671000000,201501.0,3.0,0.2~0.5,0.0,20140825,20140825,1500,1800,10.29,2671000000,기장군,
90542,2,남산1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 남산로와 범어천로의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.2~0.5,0.0,20140825,20140825,1500,1900,49.7m,2641000000,금정구,
90538,2,두구5/6/7/8지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 구거의 범람으로 우수가 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,47.6~49.7,2641000000,금정구,
90545,2,방곡지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 좌광천 주변 제방으로 인한 주변 저지대 내수배제 불량3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 하수 역류 발생4. 배수펌프시설이 주위에 없음5. 도로 포장(시멘트 및 아스팔트)으로 인한 지층으로 우수 배제 불리,2671000000,201501.0,3.0,0.2~0.5,0.0,20140825,20140825,1500,1800,53.2,2671000000,기장군,
90553,2,송정지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 주위보다 높은 도로로 인한 주변 저지대 우수 집중 및 내수 배제 불량- 집중호우로 하천 수위 상승과 조수 만조가 겹쳐 하천 범람3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2671000000,201501.0,3.0,0.2~0.8,0.0,20140825,20140825,1500,1800,63.6,2671000000,기장군,
90552,2,신천지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 내수배제 불량- 신천천 수위 상승으로 배수 지연 및 하천 범람3. 피해 지역 주변에 배수시설 없음,2671000000,201501.0,3.0,0.3~2.2,0.0,20140825,20140825,1500,1800,6.4,2671000000,기장군,
90554,2,예림지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 제방 유실로 인한 하천 범람- 집중호우로 인한 좌광천 제방 유실로 하천 범람 발생- 좌광천 남측의 상대적으로 높은 도로로 인해 반대편의 농지 침수,2671000000,201501.0,3.0,0.3~1.3,0.0,20140825,20140825,1500,1800,38.71,2671000000,기장군,
90550,2,오리지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 수위 상승으로 인한 하천 범람- 하우스와 수목 등의 부유물이 하천 흐름 방해하여 피해 가중3. 상대적으로 높은 도로로 인한 주변 저지대로 우수 집중,2671000000,201501.0,3.0,0.2~0.9,0.0,20140825,20140825,1500,1800,61.25,2671000000,기장군,
