,SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CITY,ZONE,DONG,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
98,90565,2,수안1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집수된 우수가 동래경찰서 및 수안로일원의 저지대로 유입되어 침수 발생,2626000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,4.9,부산광역시,동래구,수안동,0.69,0,2,1,4.69
92,90556,2,안락1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집수된 우수가 충렬대로 359번길 및 안연로 일원의 저지대로 유입되어   침수 발생,2626000000,201501,4,0.2~0.5,0,20140825,20140825,1500,1900,5.1,부산광역시,동래구,안락동,0.17,0,2,1,3.9
93,90557,2,안락2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천 카페거리 일원의 저지대로 유입된 우수의 배수가 원활하지 못하여 침수 발생,2626000000,201501,4,0.3~0.5,0,20140825,20140825,1500,1900,4,부산광역시,동래구,안락동,0.387,7,15,11,5.14
95,90560,2,온천1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천으로 배수되는 하수암거의 범람으로 우수가 저지대로 유입되어   침수 발생,2626000000,201501,4,0.2~1.0,0,20140825,20140825,1500,1900,10.7,부산광역시,동래구,온천동,0.951,2,7,4.5,11.22
96,90561,2,온천2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중호우로 만수위가 된 온천천의 배수가 원활하지 못해 저지대에 침수발생,2626000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,8.7,부산광역시,동래구,온천동,0.924,0,2,1,7.75
99,90562,2,온천3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 우장춘로 일원에 내수배제된 우수가 저지대로 유입되어 침수 발생,2626000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,14.2,부산광역시,동래구,온천동,0.878,0,2,1,7.86
97,90563,2,온천4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 내성교차로 일원의 저지대에 집수된 우수가 온천천으로 원활히 배수되지 못하여 침수 발생,2626000000,201501,4,0.2~1.0,0,20140825,20140825,1500,1900,8.2,부산광역시,동래구,온천동,0.954,0,2,1,10.81
7,30907,2,용호지구,집중호우,집중호우로 인한 주택침수,2629000000,201201,6,0.2M ~ 1.8M,0,20110727,20110727,700,1300,14.5M,부산광역시,남구,용호동,1.02,0,2,1,3.77
42,90596,2,구포1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.3m(최저)~0.8m(최고),0,20140825,20140825,1400,1600,EL. 5.2m,부산광역시,북구,구포동,0.423,2,7,4.5,3.88
43,90597,2,구포2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.4m(최저)~1.3m(최고),0,20140825,20140825,1400,1600,EL. 27.6m,부산광역시,북구,구포동,0.824,7,15,11,5.3
44,90598,2,구포3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.4m(최저)~1.1m(최고),0,20140825,20140825,1400,1600,EL. 117.8m,부산광역시,북구,구포동,1.085,30,60,45,171.04
39,90593,2,덕천1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.5m(최저)~0.6m(최고),0,20140825,20140825,1400,1600,EL. 5.8m,부산광역시,북구,덕천동,0.72,7,15,11,9.97
41,90594,2,덕천2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.4m(최저)~0.7m(최고),0,20140825,20140825,1400,1600,EL. 8.0m,부산광역시,북구,덕천동,0.594,0,2,1,4.51
40,90595,2,덕천3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.3m(최저)~0.6m(최고),0,20140825,20140825,1400,1600,EL. 53.0m,부산광역시,북구,덕천동,0.643,30,60,45,108.52
48,90588,2,화명1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 산으로부터 우수량이 급격히 증가하고 하천의 용량 부족으로 침수피해 발생,2632000000,201501,2,0.5m(최저)~0.7m(최고),0,20140825,20140825,1400,1600,1-1지구 140.4m/ 1-2지구 55.1m,부산광역시,북구,화명동,0.78,7,15,11,8.91
47,90589,2,화명2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.3m(최저)~1.2m(최고),0,20140825,20140825,1400,1600,2지구 EL. 9.1m/ 3지구 EL. 7.9m,부산광역시,북구,화명동,0.982,10,20,15,32.29
45,90591,2,화명4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.4m(최저)~1.0m(최고),0,20140825,20140825,1400,1600,EL. 23.5m,부산광역시,북구,화명동,0.65,15,25,20,46.85
46,90592,2,화명5지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501,2,0.4m(최저)~0.8m(최고),0,20140825,20140825,1400,1600,EL. 10.3m,부산광역시,북구,화명동,0.461,15,30,22.5,139.74
25,90574,2,반송1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2635000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,26.6,부산광역시,해운대구,송정동,0.687,2,7,4.5,26.9
26,90575,2,반송2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중 호우로 인한 토사 및 우수가 저지대로 유입되어 침수 발생,2635000000,201501,4,0.2~0.8,0,20140825,20140825,1500,1900,22.8,부산광역시,해운대구,송정동,0.475,2,7,4.5,23.75
27,90576,2,반여1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 선수천로 주변의 저지대로 유입되어 침수 발생,2635000000,201501,4,0.3~1.3,0,20140825,20140825,1500,1900,6.2,부산광역시,해운대구,반여동,0.919,2,7,4.5,3.4
35,90669,1,반여1지구,태풍 '차바'에 의한 침수피해,"1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 만조위 및 수영강의 범람으로 하천수가 저지대로 유입되어 침수발생.",2635000000,201701,2,0.3m~0.5m,0,20161005,20161005,900,1100,1669.1,부산광역시,해운대구,반여동,0.268,2,7,4.5,3.4
28,90577,2,반여2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 옥봉산의 토사 및 우수가 저지대로 유입되어 침수 발생,2635000000,201501,4,0.2~0.5,0,20140825,20140825,1500,1900,30.3,부산광역시,해운대구,반여동,0.292,15,30,22.5,32.86
29,90578,2,반여3/4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 수영강의 범람으로 하천수가 저지대로 유입되어 침수 발생,2635000000,201501,4,0.2~1.4,0,20140825,20140825,1500,1900,5.5/ 5.8,부산광역시,해운대구,반여동,1.214,2,7,4.5,2.67
30,90579,2,반여5지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 호우가 해운대로 저지대로 유입되어 침수 발생,2635000000,201501,4,0.2~0.5,0,20140825,20140825,1500,1900,2.9,부산광역시,해운대구,반여동,0.47,2,7,4.5,7.67
31,90580,2,석대1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 인근 토사 및 우수가 저지대로 유입되어 침수 발생,2635000000,201501,4,0.3~0.5,0,20140825,20140825,1500,1900,14.5,부산광역시,해운대구,반여동,0.473,2,7,4.5,14.76
32,90581,2,석대2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가  반송로 주변의 저지대로 유입되어 침수 발생,2635000000,201501,4,0.2~1.0,0,20140825,20140825,1500,1900,9.9/ 8.9,부산광역시,해운대구,반여동,0.622,2,7,4.5,11.01
33,90582,2,석대4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대첨단산업단지에 집중된 우수가 저지대로 유입되어 침수 발생,2635000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,6.8,부산광역시,해운대구,석대동,0.687,0,2,1,6.28
23,90654,1,송정1지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 송정천 수위 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701,2,0.3m~0.5m,0,20161005,20161005,900,1100,6884.5,부산광역시,해운대구,석대동,0.4,0,2,1,2.1
24,90653,1,송정2지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701,2,0.3m~0.5m,0,20161005,20161005,900,1100,1175.1,부산광역시,해운대구,우동,0.4,0,2,1,3.47
38,90666,1,송정3지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701,2,0.3m~1.0m,0,20161005,20161005,900,1100,35617.2,부산광역시,해운대구,반여동,0.5,0,2,1,3.92
34,90659,1,우동1지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701,2,0.3m~0.5m,0,20161005,20161005,900,1100,35459.3,부산광역시,해운대구,중동,0.132,0,2,1,4.97
36,90668,1,중동1지구,태풍 '차바'에 의한 침수피해,"1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.",2635000000,201701,2,0.3m~0.5m,0,20161005,20161005,900,1100,3965.4,부산광역시,해운대구,중동,0.422,2,7,4.5,6.67
37,90667,1,중동2지구,태풍 '차바'에 의한 침수피해,"1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.",2635000000,201701,2,0.3m~1.0m,0,20161005,20161005,900,1100,14081.5,부산광역시,해운대구,송정동,0.422,2,7,4.5,6.67
6,30587,2,중동지구,호우피해,집중호우로 인한 바닷물 역류,2635010600,200912,4,0.4 M,40000000,20090716,20090716,700,1100,5.53M,부산광역시,해운대구,중동,0.4,2,7,4.5,4.65
2,30583,2,송정지구1-1,호우피해,집중호우로 인한 하천 범람,2635010800,200912,4,0.55 M,55000000,20090716,20090716,700,1100,3.1M,부산광역시,해운대구,송정동,0.55,0,2,1,2.1
3,30584,2,송정지구1-2,호우피해,집중호우로 인한 하천 범람,2635010800,200912,4,0.4 M,50000000,20090716,20090716,700,1100,3.28M,부산광역시,해운대구,송정동,0.4,0,2,1,3.47
4,30585,2,송정지구1-3,호우피해,집중호우로 인한 하천 범람,2635010800,200912,4,0.45 M,45000000,20090716,20090716,700,1100,4.87M,부산광역시,해운대구,송정동,0.45,4.5,11,7.75,3.92
5,30586,2,송정지구1-4,호우피해,집중호우로 인한 하천 범람,2635010800,200912,4,0.53 M,36000000,20090716,20090716,700,1100,3.53M,부산광역시,해운대구,송정동,0.53,0,2,1,0.3
103,90732,1,구평동지구,2016년 태풍 차바,태풍으로 인한 월파,2638000000,201701,3,0.3-0.5,0,20161005,20161005,900,1200,3.3,부산광역시,사하구,하단동,0.312,7,15,11,14.55
102,90710,1,다대동지구,2016년 태풍 차바,태풍으로 인한 월파,2638000000,201701,3,0.3-0.5,0,20161005,20161005,900,1200,3.3,부산광역시,사하구,다대동,0.36,0,2,1,2.94
105,90745,1,대진아파트 일원,2016년 태풍 차바,태풍으로인한 집중호우,2638000000,201701,3,0.3-0.5,0,20161005,20161005,900,1200,1.8,부산광역시,사하구,구평동,0.317,0,2,1,2.52
104,90731,1,하단교차로 일원,2016년 태풍 차바,태풍으로 인한 집중호우,2638000000,201701,3,0.3-1.0,0,20161005,20161005,900,1200,2.1,부산광역시,사하구,하단동,0.394,0,2,1,1.99
100,90573,2,하단동지구,집중호우로 인한 침수,,2638000000,201501,3,0.2~0.8,0,20140825,20140825,1500,1800,2.65,부산광역시,사하구,하단동,0.5,0,2,1,3.46
101,90711,1,하단중학교일원,2016년 태풍 차바,태풍으로 인한 집중호우,2638000000,201701,3,0.3-0.5,0,20161005,20161005,900,1200,1.8,부산광역시,사하구,하단동,0.319,0,2,1,2.4
21,40137,2,괴정지구,집중호우,집중호우에 의한 주택침수,2638010100,201301,24,0.2 M~ 0.8 M,0,20110727,20110728,0,0,5.2M,부산광역시,사하구,괴정동,0.8,5,20,12.5,26.51
14,90345,3,하단지구1,2012 집중호우,집중호우,2638010300,201312,20,0.42M~0.42M,0,20120714,20120715,23,20,3.19M,부산광역시,사하구,하단동,0.42,0,2,1,2.38
15,90346,3,하단지구2,2012년 집중호우,집중호우에의한 하수역류,2638010300,201312,22,0.38M~0.823M,0,20120714,20120715,23,20,2.17M,부산광역시,사하구,하단동,0.823,0,2,1,2.4
16,90347,3,하단지구3,2012년 집중호우,집중호우,2638010300,201312,22,0.442M~0.653M,0,20120714,20120715,23,20,1.87M,부산광역시,사하구,하단동,0.442,0,2,1,1.99
17,90348,3,하단지구4,2012년 집중호우,집중호우에의한 하수역류,2638010300,201312,22,0.48M~0.48M,0,20120714,20120715,23,20,2M,부산광역시,사하구,하단동,0.211,0,2,1,4.76
0,30581,2,장림지구,호우피해,집중호우로 인한 하수 범람,2638010500,200912,4,0.433 M,4668000000,20090716,20090716,800,1200,2.21M,부산광역시,사하구,장림동,0.433,0,2,1,1.98
22,40138,2,감천지구,집중호우,집중호우에 의한 주택침수,2638010800,201301,24,0.4 M~ 0.7 M,0,20110727,20110728,0,0,5.2M,부산광역시,사하구,감천동,0.495,5,12,8.5,6.42
78,90539,2,구서1/2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~0.5,0,20140825,20140825,1500,1900,24.0/ 24.3/ 21.4,부산광역시,금정구,구서동,0.329,7,15,11,24.95
75,90541,2,금사1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 공단로와 반송로의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,7.5,부산광역시,금정구,금사동,0.912,2,7,4.5,6.88
73,90542,2,남산1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 남산로와 범어천로의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.2~0.5,0,20140825,20140825,1500,1900,49.7m,부산광역시,금정구,남산동,0.147,2,7,4.5,49.6
72,90543,2,남산2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,38.7~36.0,부산광역시,금정구,남산동,0.746,2,7,4.5,36.22
77,90544,2,노포1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 중앙대로의 저지대로 유입되어 침수 발생,2641000000,201501,4,0.3~1.0,67,20140825,20140825,1500,1900,66.6,부산광역시,금정구,노포동,0.693,7,15,11,63.77
70,90537,2,두구1/2/3/4지구,8월25일 집중호우에 의한 침수 피해,수영강의 범람으로 하천수가 저지대로 유입되어 침수발생,2641000000,201502,4,0.3~1.0,0,20140825,20140825,1500,1900,51.0~53.2,부산광역시,금정구,두구동,0.707,0,2,1,61.97
