,SEQ,ADM_CD,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,PUMP_RATIO,Impervious_Surface,MANHOLES_RATIO,FLUD_DPWT,FLOOD,Hourly_Rainfall,Hourly_Rainfall_Weight,Impervious_Surface_Weight,F_WEIGHT,SLOPE_AVG_Weight,HIGH_Weight
10,90921,2647000000,2.0,7,4.5,6.2,4.11522633744856e-07,62.32,0.01638683127572017,0.25,1,6.0,0.36,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.00311479527756845
11,90921,2647000000,2.0,7,4.5,6.2,4.11522633744856e-07,62.32,0.01638683127572017,0.375,1,19.5,1.3650000000000002,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.00311479527756845
12,90921,2647000000,2.0,7,4.5,6.2,4.11522633744856e-07,62.32,0.01638683127572017,0.5,1,84.5,88.72500000000001,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.00311479527756845
13,101998,2647000000,0.0,2,1.0,3.66,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,4.8,0.048,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.001838733986435569
14,101998,2647000000,0.0,2,1.0,3.66,4.11522633744856e-07,62.32,0.01638683127572017,0.25,1,9.6,0.576,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.001838733986435569
15,101998,2647000000,0.0,2,1.0,3.66,4.11522633744856e-07,62.32,0.01638683127572017,0.5,1,18.7,1.3090000000000002,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.001838733986435569
16,91028,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.5,0.005,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
17,91028,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.125,0,5.0,0.05,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
18,91028,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.25,1,6.0,0.36,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
19,91028,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.375,1,19.5,1.3650000000000002,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
20,91028,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.5,1,84.5,88.72500000000001,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
21,91029,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.5,0.005,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
22,91029,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.125,0,5.0,0.05,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
23,91029,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.25,1,6.0,0.36,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
24,91029,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.375,1,19.5,1.3650000000000002,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
25,91029,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.5,1,84.5,88.72500000000001,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
26,91030,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.5,0.005,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
